Tasks: 615 total,   1 running, 614 sleeping,   0 stopped,   0 zombie
  Mem:      5.6G total,      5.3G used,      325M free,      4.1M buffers
 Swap:      2.7G total,      2.1G used,      581M free,      1.7G cached
800%cpu 230%user  11%nice 219%sys 315%idle   0%iow  19%irq   7%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
10545 u0_a104      10 -10  13G 1.0G 1.0G S  196  19.3  21:28.38 com.baidu.adt.hmi.passenger
21745 root         20   0    0    0    0 I 33.3   0.0   0:56.33 [kworker/u16:1]
  667 system       -2 -20 2.8G  35M  29M S 33.3   0.6 123:49.19 surfaceflinger
10691 u0_a32       20   0 5.7G 145M 117M S 29.6   2.5   4:32.19 com.huawei.screenrecorder
 6664 u0_a159      20   0 6.1G 121M 121M S 29.6   2.0  68:54.32 com.omarea.vtools
  663 audioserver  20   0 2.5G  12M  10M S 14.8   0.2  10:27.06 audioserver
14465 shell        20   0  29M 4.2M 3.2M R 11.1   0.0   0:00.02 top -n 1 -b
  800 mediacodec   20   0 258G  15M  11M S 11.1   0.2   3:51.58 media.swcodec oid.media.swcodec/bin/mediaswcodec
  679 root         20   0    0    0    0 D 11.1   0.0   2:43.97 [rcc]
  632 system       -3  -8 2.2G 6.9M 6.0M S 11.1   0.1  75:05.51 android.hardware.graphics.composer@2.2-service
31606 root          0 -20    0    0    0 I  7.4   0.0   0:14.78 [kworker/u17:4]
28709 root          0 -20    0    0    0 I  7.4   0.0   0:47.86 [kworker/u17:0]
28262 shell        20   0 1.3G 2.3M 2.3M S  7.4   0.0   8:48.14 scene-daemon
 1396 system       18  -2  11G 153M 153M S  7.4   2.6  42:57.78 system_server
  795 mediacodec   20   0 192M 5.4M 4.3M S  7.4   0.0   8:56.58 media.codec hw/android.hardware.media.omx@1.0-service
  790 media        20   0 300M 7.7M 7.7M S  7.4   0.1   2:01.97 mediaserver
29535 u0_a95       12  -8 7.8G 321M 230M S  3.7   5.5   0:28.62 com.baidu.hi
23276 root          0 -20    0    0    0 I  3.7   0.0   0:24.93 [kworker/u17:2]
19363 root         20   0    0    0    0 I  3.7   0.0   0:08.43 [kworker/u16:3]
15914 root         20   0    0    0    0 I  3.7   0.0   0:03.29 [kworker/0:2]
10063 root          0 -20    0    0    0 I  3.7   0.0   0:00.19 [kworker/5:2H]
30404 system       20   0 5.5G 112M  96M S  3.7   1.9   1:51.42 com.huawei.android.internal.app
 3960 root         RT   0    0    0    0 S  3.7   0.0   2:35.74 [sugov:0]
 2020 radio        20   0 5.7G  63M  49M S  3.7   1.0   0:39.16 com.android.phone
  912 root         RT   0    0    0    0 S  3.7   0.0   4:06.84 [pci_rx_hi_task]
  647 system       20   0 146M 4.1M 3.9M S  3.7   0.0  21:35.93 vendor.huawei.hardware.hwdisplay.displayengine@1.2-service
  643 audioserver  20   0 2.4G 6.4M 6.1M S  3.7   0.1   3:34.98 vendor.huawei.hardware.audio@5.0-service
  479 system       20   0  29M 1.9M 1.6M S  3.7   0.0   1:15.01 servicemanager
