id,time,com.baidu.adt.hmi.passenger
1,15:29:37,18.5
2,15:29:44,18.75
3,15:29:51,19.88
4,15:29:57,15.25
5,15:30:5,16.0
6,15:30:11,22.25
7,15:30:17,19.75
8,15:30:24,23.25
9,15:30:32,28.12
10,15:30:38,25.88
11,15:30:44,26.75
12,15:30:50,25.38
13,15:30:57,25.0
14,15:31:3,26.75
15,15:31:10,25.88
16,15:31:17,26.25
17,15:31:24,27.12
18,15:31:30,25.38
19,15:31:36,27.62
20,15:31:43,27.62
21,15:31:50,27.62
22,15:31:56,27.25
23,15:32:2,27.12
24,15:32:8,28.5
25,15:32:15,27.12
26,15:32:22,28.5
27,15:32:29,25.88
28,15:32:36,27.5
29,15:32:42,27.12
30,15:32:48,26.25
31,15:32:54,27.62
32,15:33:1,25.38
33,15:33:7,26.75
34,15:33:14,25.88
35,15:33:20,25.75
36,15:33:27,26.25
37,15:33:33,23.62
38,15:33:39,28.12
39,15:33:46,27.12
40,15:33:54,27.62
41,15:34:1,27.12
42,15:34:7,27.12
43,15:34:13,26.75
44,15:34:20,24.5
45,15:34:26,23.62
46,15:34:32,26.75
47,15:34:38,29.88
48,15:34:45,24.5
49,15:34:52,27.12
50,15:34:59,25.38
51,15:35:6,26.38
52,15:35:13,24.5
53,15:35:19,26.25
54,15:35:26,27.62
55,15:35:33,26.25
56,15:35:40,26.25
57,15:35:46,24.5
58,15:35:53,25.88
59,15:35:59,25.88
60,15:36:5,29.38
61,15:36:12,25.0
62,15:36:19,26.25
63,15:36:25,26.25
64,15:36:32,25.38
65,15:36:38,29.88
66,15:36:44,24.5
67,15:36:50,25.88
68,15:36:57,21.75
69,15:37:3,18.75
70,15:37:10,19.12
71,15:37:17,21.88
72,15:37:25,18.25
73,15:37:32,18.5
74,15:37:38,18.75
75,15:37:45,18.25
76,15:37:53,18.88
77,15:38:0,18.25
78,15:38:7,20.0
79,15:38:15,18.75
80,15:38:22,18.88
81,15:38:29,18.75
82,15:38:36,19.12
83,15:38:44,20.88
