FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
39,0,0,33.53,45.86,54.10,37.93,37.93,34.48,65.57,32.14,42.62,59.68,1748,1748,1748,1748,2400,2400,2400,2500,-1.00,-1.00,-1,87,34.00,0,4.095
43,0,0,33.34,49.25,47.46,37.29,28.81,25.00,65.00,60.34,37.29,87.93,864,864,864,864,2333,2333,2333,2362,-1.00,-1.00,-1,87,34.00,0,4.095
43,0,0,33.34,50.60,54.90,44.23,42.31,36.54,69.81,54.72,50.00,47.17,1133,1133,1133,1133,2400,2400,2400,2112,-1.00,-1.00,-1,87,34.00,0,4.095
37,0,0,33.55,42.55,56.25,40.00,35.38,33.87,55.38,45.45,37.31,34.85,1844,1844,1844,1844,2228,2228,2228,1498,-1.00,-1.00,-1,87,34.00,0,4.095
37,0,0,33.55,36.67,49.12,36.21,29.82,35.00,62.30,39.34,25.86,21.67,1392,1392,1392,1392,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
38,0,0,33.79,37.63,52.54,39.66,26.79,30.51,56.90,46.77,35.71,15.00,1133,1133,1133,1133,2400,2400,2400,2500,-1.00,-1.00,-1,87,34.00,0,4.095
38,0,0,33.79,44.40,55.93,46.67,34.48,29.82,55.17,50.85,21.67,56.67,541,541,541,541,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
45,0,0,33.37,49.36,45.61,36.21,32.73,31.58,62.71,53.45,55.93,76.27,864,864,864,864,2400,2400,2400,1882,-1.00,-1.00,-1,87,34.00,0,4.095
45,0,0,33.37,44.10,50.00,41.82,32.69,30.77,67.92,35.85,39.29,53.70,999,999,999,999,1844,1844,1844,1498,-1.00,-1.00,-1,87,34.00,0,4.095
40,0,0,33.44,37.50,58.46,43.55,40.30,27.42,68.66,30.30,20.31,13.43,864,864,864,864,1978,1978,1978,2247,-1.00,-1.00,-1,87,34.00,0,4.095
40,0,0,33.44,35.12,55.36,38.89,29.82,23.21,66.67,29.51,24.59,8.47,999,999,999,999,1978,1978,1978,2112,-1.00,-1.00,-1,87,34.00,0,4.095
42,0,0,33.38,37.82,56.14,43.10,36.21,29.31,77.59,32.76,15.52,11.86,864,864,864,864,2132,2132,2132,1748,-1.00,-1.00,-1,87,34.00,0,4.095
42,0,0,33.38,43.95,51.67,35.09,31.03,32.20,68.33,37.93,59.02,32.76,1844,1844,1844,1844,2400,2400,2400,1882,-1.00,-1.00,-1,87,34.00,0,4.095
44,1,0,50.06,49.25,41.07,33.90,31.67,29.82,60.00,59.32,49.21,91.67,864,864,864,864,2400,2400,2400,2500,-1.00,-1.00,-1,87,34.00,0,4.095
44,1,0,50.06,52.66,52.00,36.00,34.62,34.62,54.55,66.67,74.51,67.31,864,864,864,864,2228,2228,2228,1498,-1.00,-1.00,-1,87,34.00,0,4.095
38,0,0,33.41,36.52,42.62,33.33,28.36,26.15,65.67,39.13,32.35,21.74,1392,1392,1392,1392,2228,2228,2228,2362,-1.00,-1.00,-1,87,34.00,0,4.095
38,0,0,33.41,35.23,53.57,38.60,31.03,31.15,58.33,44.44,26.67,0.00,864,864,864,864,2333,2333,2333,1498,-1.00,-1.00,-1,87,34.00,0,4.095
36,0,0,50.03,37.89,65.57,43.33,37.93,31.58,67.74,35.09,21.31,0.00,864,864,864,864,2132,2132,2132,2247,-1.00,-1.00,-1,87,34.00,0,4.095
36,0,0,50.03,45.38,59.32,49.18,37.93,32.76,59.02,43.33,27.12,51.67,1392,1392,1392,1392,1844,1844,1844,1498,-1.00,-1.00,-1,87,34.00,0,4.095
43,0,0,33.37,47.53,48.28,31.48,29.82,25.86,53.33,40.68,54.84,93.10,1268,1268,1268,1268,2400,2400,2400,1632,-1.00,-1.00,-1,87,34.00,0,4.095
43,0,0,33.37,47.89,52.00,36.73,30.00,28.57,72.55,60.38,33.96,69.39,864,864,864,864,2132,2132,2132,2247,-1.00,-1.00,-1,87,34.00,0,4.095
37,1,0,50.24,43.07,49.23,39.71,30.77,30.77,72.06,32.31,28.36,58.82,999,999,999,999,2228,2228,2228,1498,-1.00,-1.00,-1,87,34.00,0,4.095
37,1,0,50.24,33.90,49.12,32.76,25.00,26.23,73.77,30.51,12.07,17.24,1508,1508,1508,1508,2400,2400,2400,1498,-1.00,-1.00,-1,87,34.00,0,4.095
36,0,0,33.44,35.91,59.32,38.60,33.33,29.31,60.34,36.67,30.00,0.00,1392,1392,1392,1392,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
36,0,0,33.44,40.47,56.90,46.55,37.93,28.57,70.00,44.07,32.79,6.67,1623,1623,1623,1623,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
32,0,0,50.01,38.27,50.00,36.21,35.00,32.20,51.67,43.10,37.10,23.73,1133,1133,1133,1133,2228,2228,2228,1498,-1.00,-1.00,-1,87,34.00,0,4.095
32,0,0,50.01,50.25,56.86,38.78,36.73,42.31,71.15,53.85,34.00,68.63,1268,1268,1268,1268,2228,2228,2228,2362,-1.00,-1.00,-1,87,34.00,0,4.095
40,0,0,33.35,50.00,53.03,36.51,34.38,25.00,66.18,46.38,51.43,83.58,1392,1392,1392,1392,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
40,0,0,33.35,42.86,50.00,36.21,26.32,24.14,59.65,46.55,25.42,74.58,1392,1392,1392,1392,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
35,0,0,33.39,39.53,60.34,45.76,38.98,32.20,72.41,32.20,23.73,11.86,1392,1392,1392,1392,2333,2333,2333,1498,-1.00,-1.00,-1,87,34.00,0,4.095
35,0,0,33.39,37.18,55.93,46.67,37.29,31.58,43.33,38.33,22.03,22.58,1392,1392,1392,1392,1978,1978,1978,1498,-1.00,-1.00,-1,87,34.00,0,4.095
37,0,0,33.61,44.02,50.00,29.82,31.58,31.03,60.66,35.00,43.10,67.21,1392,1392,1392,1392,2400,2400,2400,1498,-1.00,-1.00,-1,87,34.00,0,4.095
37,0,0,33.61,39.32,51.72,41.07,37.93,32.76,65.57,36.21,23.73,22.58,1392,1392,1392,1392,2400,2400,2400,1498,-1.00,-1.00,-1,87,34.00,0,4.095
50,0,0,33.38,51.40,43.64,33.33,25.00,32.20,78.69,61.29,95.00,41.38,864,864,864,864,2400,2400,2400,1498,-1.00,-1.00,-1,87,34.00,0,4.095
50,0,0,33.38,46.19,48.28,36.67,35.00,26.79,67.21,60.00,55.00,43.33,1268,1268,1268,1268,1978,1978,1978,1498,-1.00,-1.00,-1,87,34.00,0,4.095
40,0,0,33.45,42.95,52.73,42.86,37.93,32.14,68.85,47.37,31.15,33.33,864,864,864,864,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
40,0,0,33.45,38.40,58.06,42.11,43.33,30.91,70.69,25.86,26.23,8.20,1392,1392,1392,1392,1844,1844,1844,1498,-1.00,-1.00,-1,87,34.00,0,4.095
43,0,0,33.69,39.74,52.63,36.84,29.82,31.67,61.67,47.46,34.48,22.03,1268,1268,1268,1268,2132,2132,2132,1498,-1.00,-1.00,-1,87,34.00,0,4.095
