id,time,com.tencent.tmgp.gnyx,com.tencent.tmgp.gnyx:estPlugin,com.tencent.tmgp.gnyx:xg_vip_service
1,16:46:56,1695.73,69.4,13.22
2,16:47:4,1708.7,69.55,13.22
3,16:47:12,1879.48,69.55,13.2
4,16:47:19,1906.51,59.73,12.83
5,16:47:27,1929.18,59.06,12.82
6,16:47:35,1931.93,59.18,12.82
7,16:47:42,1951.32,59.32,12.82
8,16:47:50,1957.45,59.19,12.83
9,16:47:57,1933.61,58.57,12.37
10,16:48:5,1924.13,58.57,12.3
11,16:48:13,1944.55,58.64,12.26
12,16:48:20,1938.37,58.52,11.99
13,16:48:28,1930.73,58.54,11.94
14,16:48:36,1949.19,57.88,12.58
15,16:48:43,1953.61,57.97,12.55
16,16:48:51,1934.38,58.01,12.48
17,16:48:59,1920.54,58.1,12.44
18,16:49:6,1924.24,58.16,12.43
19,16:49:14,1928.42,58.26,12.41
20,16:49:21,1938.26,58.38,12.41
21,16:49:29,1942.22,58.47,12.38
22,16:49:37,1941.7,58.52,12.36
23,16:49:44,1941.05,58.65,12.33
24,16:49:52,1946.9,58.82,12.42
25,16:50:0,1931.69,58.9,12.42
26,16:50:7,1938.68,59.04,12.42
27,16:50:15,1956.53,59.12,12.42
28,16:50:22,1956.81,58.86,12.4
29,16:50:30,1939.65,58.88,12.39
30,16:50:38,1941.98,58.98,12.39
31,16:50:45,1959.55,59.12,12.38
32,16:50:53,1965.19,59.26,12.38
33,16:51:0,1945.36,59.4,12.38
34,16:51:8,1954.38,59.54,12.38
35,16:51:16,1950.48,59.64,12.38
36,16:51:23,1971.74,59.78,12.38
37,16:51:31,1958.12,59.92,12.38
38,16:51:39,1970.47,60.06,12.39
39,16:51:46,1970.69,60.19,12.38
40,16:51:54,1964.36,60.43,12.48
41,16:52:2,1970.33,60.57,12.48
42,16:52:9,1961.05,60.71,12.48
43,16:52:17,1959.83,60.85,12.48
44,16:52:25,1975.92,60.99,12.48
45,16:52:32,1973.92,55.52,12.48
46,16:52:40,1979.21,55.66,12.51
47,16:52:47,1991.37,55.79,12.51
48,16:52:55,1977.14,55.92,12.51
49,16:53:3,1979.1,56.06,12.51
50,16:53:10,1966.63,56.2,12.5
51,16:53:18,1969.22,56.3,12.5
52,16:53:26,1990.42,56.44,12.54
53,16:53:33,1971.49,56.58,12.54
54,16:53:41,1972.96,56.77,12.59
55,16:53:48,1968.06,56.91,12.59
56,16:53:56,1974.14,57.01,12.6
57,16:54:4,1979.83,57.15,12.59
58,16:54:11,1977.35,57.28,12.59
59,16:54:19,1973.23,57.41,12.59
60,16:54:27,1966.92,57.54,12.59
61,16:54:34,1971.89,57.65,12.59
62,16:54:42,1969.85,57.79,12.59
63,16:54:50,1975.36,57.93,12.57
64,16:54:57,1976.63,58.06,12.45
65,16:55:5,1974.16,58.2,12.44
66,16:55:13,1963.13,58.23,12.33
67,16:55:20,1966.65,58.32,12.33
68,16:55:28,1989.51,58.45,12.31
69,16:55:35,1979.25,58.59,12.31
70,16:55:43,1973.07,58.67,12.31
71,16:55:51,1969.03,58.8,12.31
72,16:55:59,1978.04,58.94,12.3
73,16:56:6,1972.18,59.04,12.3
74,16:56:14,1960.27,59.18,12.3
75,16:56:21,1962.26,59.32,12.3
76,16:56:29,1971.46,59.46,12.3
77,16:56:37,1960.57,59.6,12.3
78,16:56:44,1967.8,59.7,12.3
79,16:56:52,1963.44,59.84,12.3
81,16:57:0,1988.2,59.98,12.3
