id,time,com.baidu.adt.hmi.passenger
1,17:18:18,1404.65
2,17:18:25,1396.21
3,17:18:32,1471.56
4,17:18:39,1414.25
5,17:18:47,1394.58
6,17:18:54,1401.8
7,17:19:1,1389.44
8,17:19:8,1381.94
9,17:19:16,1376.57
10,17:19:23,1388.02
11,17:19:30,1385.73
12,17:19:37,1379.97
13,17:19:45,1373.85
14,17:19:52,1384.45
15,17:19:59,1375.92
16,17:20:7,1383.62
17,17:20:14,1373.03
18,17:20:21,1389.71
19,17:20:28,1362.09
20,17:20:36,1352.25
21,17:20:43,1355.58
22,17:20:50,1362.72
23,17:20:57,1351.33
24,17:21:5,1357.15
25,17:21:12,1363.38
26,17:21:19,1356.11
27,17:21:26,1365.82
28,17:21:34,1360.6
29,17:21:41,1370.79
30,17:21:48,1355.73
31,17:21:55,1471.68
32,17:22:2,1474.83
33,17:22:10,1465.42
34,17:22:17,1478.67
35,17:22:24,1482.17
36,17:22:31,1469.96
37,17:22:39,1466.22
38,17:22:46,1481.05
39,17:22:53,1476.16
40,17:23:0,1467.1
41,17:23:8,1478.19
42,17:23:15,1487.69
43,17:23:22,1479.9
44,17:23:29,1483.02
45,17:23:36,1610.58
46,17:23:44,1419.66
47,17:23:51,1459.15
48,17:23:58,1461.93
49,17:24:5,1453.37
50,17:24:13,1520.63
51,17:24:20,1508.18
52,17:24:27,1503.41
53,17:24:34,1495.29
54,17:24:41,1503.64
55,17:24:49,1505.33
56,17:24:56,1505.58
57,17:25:3,1520.02
58,17:25:10,1555.42
59,17:25:18,1520.67
60,17:25:25,1526.24
61,17:25:32,1515.14
62,17:25:39,1523.6
63,17:25:47,1514.97
64,17:25:55,1518.42
65,17:26:2,1528.76
66,17:26:9,1751.68
67,17:26:16,1751.62
68,17:26:24,1752.01
69,17:26:31,1766.14
70,17:26:38,1749.8
71,17:26:45,1744.54
72,17:26:53,1561.46
73,17:27:0,1522.93
74,17:27:7,1528.04
75,17:27:14,1530.12
76,17:27:21,1533.65
77,17:27:29,1538.12
78,17:27:36,1547.33
79,17:27:43,1551.52
80,17:27:50,1538.53
81,17:27:58,1553.5
82,17:28:5,1566.65
83,17:28:12,1558.92
85,17:28:19,1550.29
