FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
41,0,0,33.37,50.97,64.29,54.39,54.39,50.00,70.49,53.33,44.07,18.97,1844,1844,1844,1844,2400,2400,2400,1997,-1.00,-1.00,-1,81,32.00,0,4.093
41,0,0,33.37,50.22,48.28,37.50,39.29,37.04,55.93,47.54,37.93,96.61,1268,1268,1268,1268,2228,2228,2228,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.60,58.37,64.29,59.65,53.70,53.57,71.43,58.62,45.76,58.33,1133,1133,1133,1133,1844,1844,1844,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.60,51.38,68.97,57.89,54.55,51.79,65.08,54.84,43.55,16.67,999,999,999,999,1844,1844,1844,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,2,0,66.73,56.50,71.19,61.40,56.36,53.70,66.67,55.93,46.67,39.34,1268,1268,1268,1268,2400,2400,2400,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,2,0,66.73,54.08,67.35,56.25,52.27,51.11,70.59,58.18,43.40,34.62,1844,1844,1844,1844,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
41,3,0,50.02,53.91,65.57,58.06,50.00,53.33,71.64,60.87,44.78,26.15,1623,1623,1623,1623,2400,2400,2400,1498,-1.00,-1.00,-1,81,32.00,0,4.093
41,3,0,50.02,57.42,69.49,60.71,57.69,56.36,70.31,62.71,44.26,37.29,1268,1268,1268,1268,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,2,0,50.01,65.92,71.15,61.54,60.00,60.71,66.67,66.67,56.90,85.96,1508,1508,1508,1508,2333,2333,2333,2583,-1.00,-1.00,-1,81,32.00,0,4.093
40,2,0,50.01,76.36,70.00,63.33,60.38,63.33,81.36,86.89,81.97,98.41,1844,1844,1844,1844,2400,2400,2400,1632,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.38,56.56,67.80,59.65,56.14,53.70,63.93,52.63,43.33,55.17,1844,1844,1844,1844,2228,2228,2228,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.38,54.77,72.34,60.42,59.57,58.33,53.85,58.82,52.83,25.00,1508,1508,1508,1508,1268,1268,1268,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,1,0,50.01,53.51,69.23,59.02,55.00,61.19,61.97,61.11,41.43,21.21,1623,1623,1623,1623,2132,2132,2132,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,1,0,50.01,51.93,66.67,62.26,62.07,56.14,66.67,53.23,41.38,9.84,1748,1748,1748,1748,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,50.03,57.52,73.68,66.10,61.82,58.82,63.79,66.10,42.37,26.67,1133,1133,1133,1133,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.093
