id,time,com.baidu.adt.hmi.passenger
1,17:18:13,175.0
2,17:18:20,71.4
3,17:18:27,135.0
4,17:18:34,155.0
5,17:18:42,121.0
6,17:18:49,114.0
7,17:18:56,114.0
8,17:19:3,125.0
9,17:19:11,117.0
10,17:19:18,117.0
11,17:19:25,131.0
12,17:19:32,166.0
13,17:19:40,146.0
14,17:19:47,124.0
15,17:19:54,127.0
16,17:20:1,148.0
17,17:20:9,127.0
18,17:20:16,100.0
19,17:20:23,124.0
20,17:20:30,153.0
21,17:20:38,151.0
22,17:20:45,120.0
23,17:20:52,128.0
24,17:20:59,162.0
25,17:21:7,148.0
26,17:21:14,132.0
27,17:21:21,124.0
28,17:21:28,192.0
29,17:21:36,117.0
30,17:21:43,111.0
31,17:21:50,85.1
32,17:21:57,118.0
33,17:22:5,177.0
34,17:22:12,171.0
35,17:22:19,181.0
36,17:22:26,192.0
37,17:22:33,185.0
38,17:22:41,177.0
39,17:22:48,228.0
40,17:22:55,177.0
41,17:23:2,207.0
42,17:23:10,170.0
43,17:23:17,235.0
44,17:23:24,170.0
45,17:23:31,157.0
46,17:23:39,148.0
47,17:23:46,103.0
48,17:23:53,139.0
49,17:24:0,88.8
50,17:24:7,251.0
51,17:24:15,111.0
52,17:24:22,225.0
53,17:24:29,144.0
54,17:24:36,214.0
55,17:24:44,185.0
56,17:24:51,211.0
57,17:24:58,185.0
58,17:25:5,200.0
59,17:25:12,200.0
60,17:25:20,177.0
61,17:25:27,174.0
62,17:25:34,237.0
63,17:25:41,177.0
64,17:25:50,172.0
65,17:25:57,185.0
66,17:26:4,150.0
67,17:26:11,157.0
68,17:26:19,137.0
69,17:26:26,139.0
70,17:26:33,132.0
71,17:26:40,142.0
72,17:26:47,127.0
73,17:26:55,164.0
74,17:27:2,106.0
75,17:27:9,155.0
76,17:27:16,300.0
77,17:27:24,177.0
78,17:27:31,192.0
79,17:27:38,214.0
80,17:27:45,181.0
81,17:27:52,177.0
82,17:28:0,188.0
83,17:28:7,189.0
84,17:28:14,196.0
