id,time,com.baidu.adt.hmi.passenger
1,15:29:42,2512.84
2,15:29:49,2509.66
3,15:29:55,2532.78
4,15:30:3,2525.64
5,15:30:9,2217.26
6,15:30:15,2185.46
7,15:30:22,2191.81
8,15:30:30,2174.96
9,15:30:36,1774.23
10,15:30:42,1780.26
11,15:30:48,1794.81
12,15:30:55,1792.71
13,15:31:1,1791.31
14,15:31:8,1790.75
15,15:31:15,1782.78
16,15:31:22,1790.54
17,15:31:28,1792.49
18,15:31:34,1791.91
19,15:31:41,1793.29
20,15:31:48,1784.27
21,15:31:54,1783.28
22,15:32:0,1784.33
23,15:32:6,1783.47
24,15:32:13,1784.1
25,15:32:20,1781.46
26,15:32:27,1786.19
27,15:32:33,1790.85
28,15:32:40,1786.57
29,15:32:46,1778.23
30,15:32:52,1789.13
31,15:32:58,1784.48
32,15:33:5,1778.92
33,15:33:12,1792.29
34,15:33:18,1779.33
35,15:33:24,1795.64
36,15:33:31,1792.28
37,15:33:37,1786.95
38,15:33:44,1784.7
39,15:33:51,1790.33
40,15:33:59,1794.6
41,15:34:5,1786.74
42,15:34:11,1786.17
43,15:34:17,1783.02
44,15:34:24,1801.63
45,15:34:30,1783.99
46,15:34:36,1785.43
47,15:34:42,1787.91
48,15:34:50,1784.39
49,15:34:57,1792.41
50,15:35:4,1785.09
51,15:35:10,1793.42
52,15:35:17,1797.01
53,15:35:24,1798.19
54,15:35:31,1789.75
55,15:35:37,1800.37
56,15:35:44,1800.51
57,15:35:51,1801.53
58,15:35:57,1793.38
59,15:36:3,1792.12
60,15:36:10,1790.95
61,15:36:17,1786.28
62,15:36:23,1783.81
63,15:36:29,1800.86
64,15:36:36,1795.43
65,15:36:42,2159.58
66,15:36:48,2201.35
67,15:36:54,2237.6
68,15:37:1,2594.96
69,15:37:8,2356.28
70,15:37:15,2541.38
71,15:37:22,2527.04
72,15:37:30,2531.48
73,15:37:36,2535.31
74,15:37:43,2534.62
75,15:37:51,2523.29
76,15:37:58,2530.9
77,15:38:5,2542.69
78,15:38:12,2532.99
79,15:38:20,2523.47
80,15:38:27,2531.24
81,15:38:34,2541.13
82,15:38:41,2534.83
84,15:38:49,2530.73
