FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
39,5,0,50.02,47.70,57.14,48.15,51.79,57.14,57.63,47.27,44.07,24.19,1844,1844,1844,1844,1690,1690,1690,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,4,0,50.03,50.00,74.07,66.67,67.31,70.37,47.27,42.86,35.71,0.00,1623,1623,1623,1623,1268,1268,1268,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,4,0,50.03,49.79,72.88,70.97,69.49,71.43,40.68,43.55,33.87,1.61,1268,1268,1268,1268,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,3,0,66.71,51.40,77.19,69.09,71.43,71.93,50.85,39.66,31.58,0.00,1844,1844,1844,1844,2228,2228,2228,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,3,0,66.71,53.49,72.73,72.58,69.81,70.91,54.24,42.37,41.94,3.57,1392,1392,1392,1392,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,5,0,50.05,48.28,71.19,67.24,63.46,67.27,50.00,41.67,20.34,8.20,1844,1844,1844,1844,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,5,0,50.05,48.81,75.00,67.86,66.04,67.86,44.83,35.09,29.51,5.00,1508,1508,1508,1508,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,3,1,100.04,61.48,75.47,74.07,74.55,75.00,67.86,65.45,51.79,13.21,1623,1623,1623,1623,1152,1152,1152,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,3,1,100.04,52.19,75.81,68.85,70.00,69.35,52.46,46.15,28.13,10.77,1844,1844,1844,1844,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,3,0,66.71,53.41,75.44,68.52,69.09,68.52,52.54,58.33,30.51,8.62,1623,1623,1623,1623,2228,2228,2228,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,3,0,66.71,53.32,75.44,68.42,70.00,70.37,47.27,45.00,34.48,13.33,1392,1392,1392,1392,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,3,0,66.67,52.52,72.73,70.91,70.18,70.18,58.93,40.98,43.10,0.00,1623,1623,1623,1623,1152,1152,1152,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,3,0,66.67,53.25,75.86,70.18,68.42,71.19,55.17,45.61,40.00,0.00,1133,1133,1133,1133,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,5,0,50.13,60.77,80.00,73.58,72.00,75.51,64.81,58.49,42.59,24.07,1508,1508,1508,1508,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,5,0,50.13,49.90,73.33,67.74,66.10,68.25,59.70,32.81,27.69,6.25,1268,1268,1268,1268,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,2,0,50.01,50.33,77.19,69.23,69.09,68.42,54.24,33.90,27.59,8.20,1508,1508,1508,1508,2228,2228,2228,2362,-1.00,-1.00,-1,81,32.00,0,4.093
40,2,0,50.01,51.33,77.59,69.09,67.31,71.43,57.63,31.03,33.87,11.86,1392,1392,1392,1392,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,2,0,50.00,49.11,72.73,65.45,63.46,71.43,55.36,34.55,35.00,0.00,1508,1508,1508,1508,1536,1536,1536,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,2,0,50.00,53.32,81.03,71.19,72.41,71.43,50.85,54.24,29.31,0.00,1508,1508,1508,1508,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,1,0,50.02,58.68,75.51,74.00,71.43,76.00,73.58,52.94,50.00,0.00,1623,1623,1623,1623,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,1,0,50.02,82.34,81.97,77.78,76.19,83.82,89.55,84.51,81.54,80.30,1844,1844,1844,1844,2228,2228,2228,1498,-1.00,-1.00,-1,81,32.00,0,4.093
20,3,3,183.34,55.29,67.86,60.38,64.91,61.11,50.88,39.66,37.70,60.34,1623,1623,1623,1623,2400,2400,2400,1882,-1.00,-1.00,-1,81,32.00,0,4.093
20,3,3,183.34,79.37,85.25,79.31,76.67,82.26,80.00,77.78,75.81,76.27,1844,1844,1844,1844,1037,1037,1037,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,4,1,83.36,62.55,78.33,71.93,72.41,71.19,65.00,54.24,50.00,38.98,1748,1748,1748,1748,2400,2400,2400,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,4,1,83.36,58.58,76.36,67.27,69.09,73.77,67.80,56.67,43.55,20.34,1748,1748,1748,1748,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
41,3,0,50.02,59.51,80.39,70.00,71.43,70.21,69.23,54.00,41.51,21.15,1392,1392,1392,1392,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
41,3,0,50.02,57.12,76.12,67.21,69.70,69.35,61.19,49.25,41.79,22.73,1392,1392,1392,1392,1037,1037,1037,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,5,0,66.68,65.17,81.03,74.14,75.86,76.79,66.67,57.63,51.67,39.34,1844,1844,1844,1844,2400,2400,2400,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,5,0,66.68,67.74,80.36,75.93,77.59,77.19,72.13,65.00,50.00,47.46,1508,1508,1508,1508,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,4,1,83.34,65.87,84.75,78.57,80.00,79.63,64.91,54.39,48.21,40.98,1748,1748,1748,1748,2333,2333,2333,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,4,1,83.34,60.35,80.36,77.97,75.00,78.95,62.07,50.00,37.93,20.69,1623,1623,1623,1623,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,3,0,66.66,64.84,79.59,78.00,80.00,80.00,68.00,56.86,44.00,29.41,1748,1748,1748,1748,1690,1690,1690,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,3,0,66.66,64.49,81.82,77.78,80.60,77.78,66.18,58.57,45.71,33.33,1844,1844,1844,1844,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,2,0,50.04,59.44,80.00,75.00,76.79,78.95,62.30,50.88,37.10,15.79,1844,1844,1844,1844,2132,2132,2132,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,2,0,50.04,63.25,81.82,79.66,79.31,78.95,69.64,45.76,43.33,24.14,1392,1392,1392,1392,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,1,0,66.67,63.87,80.70,76.67,75.86,75.47,65.00,60.66,45.61,32.26,1844,1844,1844,1844,1978,1978,1978,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,1,0,66.67,63.62,79.31,75.44,76.36,75.00,70.00,57.63,47.46,32.20,1844,1844,1844,1844,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,1,0,50.02,64.16,81.25,79.25,75.51,77.08,66.67,50.98,50.94,32.65,1748,1748,1748,1748,1978,1978,1978,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,1,0,50.02,64.96,81.82,78.13,80.00,83.82,64.71,59.09,45.45,27.69,1844,1844,1844,1844,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,2,0,50.03,62.14,83.93,81.03,80.00,83.33,65.52,45.45,43.86,17.24,1844,1844,1844,1844,1978,1978,1978,1748,-1.00,-1.00,-1,81,32.00,0,4.093
39,2,0,50.03,61.62,82.46,79.31,79.31,81.67,62.07,50.85,36.21,24.19,1844,1844,1844,1844,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.093
38,2,0,66.69,58.67,82.76,78.95,78.95,77.59,55.56,45.76,37.50,5.26,1844,1844,1844,1844,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
38,2,0,66.69,56.41,80.00,72.22,72.73,73.68,59.68,56.92,29.31,13.11,1392,1392,1392,1392,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,1,0,50.01,53.07,75.44,68.42,72.88,71.15,63.16,39.66,26.67,10.17,1392,1392,1392,1392,1152,1152,1152,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,1,0,50.01,53.58,75.86,65.45,68.42,62.96,62.07,48.33,33.90,12.07,1392,1392,1392,1392,1978,1978,1978,1498,-1.00,-1.00,-1,81,32.00,0,4.093
41,2,0,50.01,53.43,78.18,71.67,70.69,68.52,61.02,40.68,30.00,11.67,1844,1844,1844,1844,1978,1978,1978,1498,-1.00,-1.00,-1,81,32.00,0,4.093
41,2,0,50.01,51.40,77.97,70.69,69.64,66.67,62.30,27.27,22.81,12.07,1508,1508,1508,1508,2132,2132,2132,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,4,0,150.00,53.43,79.63,66.67,67.24,65.52,62.90,42.11,34.43,13.33,1392,1392,1392,1392,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,4,0,150.00,52.06,77.97,67.24,66.04,67.24,55.36,43.33,35.59,5.00,1392,1392,1392,1392,1268,1268,1268,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,4,0,66.70,54.19,68.97,62.50,61.82,62.50,45.76,36.84,25.42,73.33,1623,1623,1623,1623,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,4,0,66.70,51.30,76.36,67.86,73.21,68.97,58.33,36.21,24.56,11.48,1623,1623,1623,1623,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,4,0,66.68,51.20,77.59,67.92,69.64,68.52,56.36,36.21,28.81,6.67,1844,1844,1844,1844,2132,2132,2132,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,4,0,66.68,54.08,77.19,69.81,71.19,71.43,61.02,45.61,30.36,11.86,1268,1268,1268,1268,1037,1037,1037,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,3,0,50.02,50.00,77.19,66.07,69.09,69.09,46.67,40.35,25.86,15.00,1392,1392,1392,1392,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,3,0,50.02,54.53,78.57,72.88,71.93,72.41,55.93,45.61,35.00,6.78,1508,1508,1508,1508,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,3,0,50.05,59.66,84.21,80.33,79.66,80.70,60.94,45.76,33.90,13.56,1623,1623,1623,1623,1536,1536,1536,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,3,0,50.05,59.65,83.87,74.55,76.67,75.86,54.24,47.37,36.21,24.56,1844,1844,1844,1844,1037,1037,1037,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,1,0,50.01,57.48,84.48,75.93,79.31,80.00,66.13,32.14,31.15,10.34,1844,1844,1844,1844,1844,1844,1844,1882,-1.00,-1.00,-1,81,32.00,0,4.093
39,1,0,50.01,57.39,77.36,76.27,75.86,72.22,61.02,42.37,29.82,25.42,1508,1508,1508,1508,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,2,0,66.69,57.95,82.76,77.97,77.19,77.19,50.88,47.37,34.48,20.69,1844,1844,1844,1844,1268,1268,1268,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,2,0,66.69,52.90,80.00,71.93,73.68,73.21,46.55,39.66,29.51,8.47,1748,1748,1748,1748,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,2,0,50.02,60.95,81.82,79.66,79.66,78.18,64.41,50.00,35.59,20.69,1844,1844,1844,1844,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,2,0,50.02,53.21,78.33,69.09,70.91,70.18,61.40,39.68,28.33,16.39,1508,1508,1508,1508,1037,1037,1037,1498,-1.00,-1.00,-1,81,33.00,0,4.093
41,2,0,50.02,55.29,81.36,72.22,71.43,72.41,60.34,50.00,33.90,3.33,1392,1392,1392,1392,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
41,2,0,50.02,53.49,77.19,72.13,68.63,71.93,50.88,39.34,32.20,20.34,1748,1748,1748,1748,2132,2132,2132,1498,-1.00,-1.00,-1,81,33.00,0,4.093
41,4,0,50.02,52.85,78.95,71.93,69.81,71.19,55.36,30.91,30.91,10.17,1844,1844,1844,1844,1037,1037,1037,1498,-1.00,-1.00,-1,81,33.00,0,4.093
41,4,0,50.02,51.11,78.57,69.09,68.52,70.37,54.55,45.76,27.59,0.00,1623,1623,1623,1623,1152,1152,1152,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,4,0,50.04,52.16,76.27,68.97,70.18,64.81,57.89,36.67,31.67,13.11,1268,1268,1268,1268,1037,1037,1037,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,4,0,50.04,50.98,77.97,69.64,66.67,71.19,56.90,39.29,26.32,0.00,1268,1268,1268,1268,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,4,0,66.68,53.66,75.86,68.33,67.86,64.81,55.17,43.33,35.59,20.34,1392,1392,1392,1392,2132,2132,2132,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,4,0,66.68,53.46,76.67,69.64,71.43,71.93,58.62,41.67,24.56,15.00,1268,1268,1268,1268,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,3,0,50.04,52.52,73.68,67.92,69.09,66.07,50.00,53.97,29.82,10.34,1844,1844,1844,1844,1690,1690,1690,1632,-1.00,-1.00,-1,81,33.00,0,4.093
40,3,0,50.04,52.64,76.79,70.18,70.91,67.31,61.02,43.86,26.32,10.00,1748,1748,1748,1748,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,3,0,66.68,56.50,72.22,73.33,70.00,67.24,61.02,41.07,41.67,23.33,1844,1844,1844,1844,1152,1152,1152,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,3,0,66.68,47.95,74.14,69.64,65.45,66.07,54.24,30.51,20.34,3.45,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,2,0,50.01,47.91,75.44,67.27,68.42,66.04,53.45,38.98,20.69,0.00,1844,1844,1844,1844,1690,1690,1690,1882,-1.00,-1.00,-1,81,33.00,0,4.093
39,2,0,50.01,52.85,77.78,70.18,72.73,70.91,55.00,39.29,30.51,8.33,1623,1623,1623,1623,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,50.02,50.00,77.05,72.41,70.91,71.19,44.83,40.98,28.81,0.00,1133,1133,1133,1133,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,50.02,48.03,72.41,70.69,69.49,63.46,49.12,37.93,21.43,0.00,1844,1844,1844,1844,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,3,1,100.01,47.54,76.67,68.97,69.09,61.11,47.46,32.20,21.67,8.06,1508,1508,1508,1508,1978,1978,1978,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,3,1,100.01,50.32,76.67,73.33,70.91,66.67,56.14,35.59,23.21,0.00,1623,1623,1623,1623,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,2,0,50.00,48.59,72.41,68.97,66.67,66.07,59.32,35.09,22.03,0.00,1748,1748,1748,1748,1392,1392,1392,1632,-1.00,-1.00,-1,81,33.00,0,4.093
40,2,0,50.00,51.92,73.77,69.09,73.33,67.24,53.45,41.38,36.21,1.67,1133,1133,1133,1133,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,3,0,50.01,51.28,76.79,70.97,66.67,68.33,60.00,38.89,32.81,0.00,1844,1844,1844,1844,2228,2228,2228,1748,-1.00,-1.00,-1,81,33.00,0,4.093
39,3,0,50.01,57.77,78.57,75.00,74.55,74.07,59.32,46.67,37.93,18.64,1133,1133,1133,1133,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,4,0,50.07,68.13,82.46,81.03,77.97,82.26,63.16,60.00,46.55,52.46,1844,1844,1844,1844,2228,2228,2228,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,4,0,50.07,61.70,72.22,69.49,70.69,65.45,46.55,40.68,34.43,91.80,1392,1392,1392,1392,2228,2228,2228,2583,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.40,60.38,78.33,72.41,71.43,69.64,52.54,41.38,50.00,45.00,1844,1844,1844,1844,1844,1844,1844,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.40,54.61,78.18,71.43,70.18,73.68,56.90,39.34,35.71,10.53,1623,1623,1623,1623,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.05,54.19,78.69,73.21,72.73,72.41,57.38,39.66,33.87,7.02,1392,1392,1392,1392,1536,1536,1536,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.05,52.34,77.19,72.73,68.63,71.93,49.09,43.10,24.56,9.09,1508,1508,1508,1508,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,1,0,50.03,58.94,81.36,75.81,75.44,74.60,62.90,50.79,40.63,16.92,1748,1748,1748,1748,1690,1690,1690,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,1,0,50.03,59.01,79.66,74.14,75.93,73.68,60.00,47.46,41.38,22.41,1268,1268,1268,1268,1536,1536,1536,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,2,0,66.67,69.40,80.00,76.79,76.36,75.86,70.69,50.00,56.14,71.67,1844,1844,1844,1844,2333,2333,2333,1498,-1.00,-1.00,-1,81,33.00,0,4.093
